show_name,episode_title,season,episode,duration_minutes,genre,service,year,description,type,content_id,intelligence_bucket
"Breaking Bad","Pilot",1,1,47,Drama,Netflix,2008,"Walter White begins cooking meth after cancer diagnosis",episode,breaking-bad-s1e1,Content Intelligence
"The Sopranos","The Sopranos",1,1,60,Drama,HBO,1999,"Tony Soprano begins therapy sessions with Dr. Melfi",episode,sopranos-s1e1,Content Intelligence
"The Wire","The Target",1,1,60,Crime,HBO,2002,"Detective McNulty starts investigating the Barksdale organization",episode,wire-s1e1,Content Intelligence
"Mad Men","Smoke Gets in Your Eyes",1,1,47,Drama,AMC,2007,"Don Draper navigates advertising in 1960s New York",episode,mad-men-s1e1,Content Intelligence
"Game of Thrones","Winter Is Coming",1,1,56,Fantasy,HBO,2011,"Ned Stark is asked to become Hand of the King",episode,got-s1e1,Content Intelligence
"Stranger Things","Chapter One: The Vanishing of Will Byers",1,1,51,Horror,Netflix,2016,"Will Byers disappears in the town of Hawkins",episode,stranger-things-s1e1,Content Intelligence
"House","Pilot",1,1,44,Medical,FOX,2004,"Dr. House diagnoses a kindergarten teacher with mysterious symptoms",episode,house-s1e1,Content Intelligence
"Sherlock","A Study in Pink",1,1,90,Mystery,BBC,2010,"Sherlock Holmes and Dr. Watson meet and solve their first case",episode,sherlock-s1e1,Content Intelligence
"True Detective","The Long Bright Dark",1,1,55,Crime,HBO,2014,"Detectives Cohle and Hart investigate occult murders in Louisiana",episode,true-detective-s1e1,Content Intelligence
"Westworld","The Original",1,1,68,Sci-Fi,HBO,2016,"Dolores begins to question the nature of her reality",episode,westworld-s1e1,Content Intelligence
"The Office","Pilot",1,1,22,Comedy,Peacock,2005,"Michael Scott interviews for a documentary about his office",episode,office-s1e1,Scene Description Pipeline
"Parks and Recreation","Pilot",1,1,22,Comedy,Peacock,2009,"Leslie Knope tries to turn a pit into a park",episode,parks-rec-s1e1,Scene Description Pipeline
"Friends","The Pilot",1,1,22,Comedy,HBO Max,1994,"Rachel leaves her fiancé and reunites with her high school friends",episode,friends-s1e1,Scene Description Pipeline
"Seinfeld","Good News, Bad News",1,1,22,Comedy,Netflix,1989,"Jerry's relationship concerns and a potential TV pilot",episode,seinfeld-s1e1,Scene Description Pipeline
"Brooklyn Nine-Nine","Pilot",1,1,22,Comedy,Hulu,2013,"Detective Jake Peralta meets his new commanding officer",episode,brooklyn-99-s1e1,Scene Description Pipeline
"Community","Pilot",1,1,22,Comedy,Netflix,2009,"Jeff Winger enrolls in community college and forms a study group",episode,community-s1e1,Scene Description Pipeline
"30 Rock","Pilot",1,1,22,Comedy,Peacock,2006,"Liz Lemon gets a new boss and tries to save her show",episode,30-rock-s1e1,Scene Description Pipeline
"Arrested Development","Pilot",1,1,22,Comedy,Netflix,2003,"The Bluth family loses everything and must stick together",episode,arrested-dev-s1e1,Scene Description Pipeline
"Modern Family","Pilot",1,1,22,Comedy,Peacock,2009,"Three families with different dynamics navigate modern life",episode,modern-family-s1e1,Scene Description Pipeline
"How I Met Your Mother","Pilot",1,1,22,Comedy,Hulu,2005,"Ted meets Robin and thinks she might be 'the one'",episode,himym-s1e1,Scene Description Pipeline
"Lost","Pilot",1,1,43,Mystery,Hulu,2004,"Passengers survive a plane crash on a mysterious island",episode,lost-s1e1,Story Tree
